title,soup
101 dalmatians (1996),dalmatians children remake adventure (1996) comedy dogs 101
star trek vi: the undiscovered country (1991),sci-fi star country klingons (1991) trek action mystery undiscovered vi: the
star trek ii: the wrath of khan (1982),(1982) sci-fi star kirk ii: of captain wrath trek action adventure thriller khan the
star trek iv: the voyage home (1986),sci-fi star voyage (1986) trek adventure home comedy iv: whales the
batman returns (1992),(1992) superhero action crime batman returns
grease (1978),(1978) grease school high comedy romance musical
grease 2 (1982),(1982) 2 grease school high comedy romance musical
jaws (1975),jaws action shark (1975) horror
jaws 3-d (1983),jaws (1983) action shark 3-d horror
jerry maguire (1996),sports maguire drama (1996) romance jerry
raising arizona (1987),arizona brothers (1987) comedy coen raising
sneakers (1992),sci-fi (1992) spying drama sneakers action comedy crime
in love and war (1996),and war in (1996) romance hemingway love
scream (1996),slasher spoof (1996) comedy mystery thriller horror scream
"last of the mohicans, the (1992)","(1992) mohicans, of hawkeye war action romance last cooper western fennimore james the"
hamlet (1996),shakespeare hamlet drama (1996) romance crime
"whole wide world, the (1996)","drama (1996) whole world, conan wide the"
evita (1996),weber andrew drama (1996) evita lloyd musical
hearts and minds (1996),netflix queue drama and hearts (1996) in vietnam minds
benny & joon (1993),benny mental not & joon (1993) seen illness comedy romance
kolya (kolja) (1996),netflix queue drama in (1996) comedy kolya (kolja)
waiting for guffman (1996),mockumentary (1996) comedy guffman waiting for
donnie brasco (1997),(1997) drama mafia brasco crime donnie
jungle2jungle (a.k.a. jungle 2 jungle) (1997),(1997) 2 children jungle jungle) comedy (a.k.a. jungle2jungle
liar liar (1997),comedy liar (1997) lawyer
anna karenina (1997),(1997) tolstoy drama romance karenina anna
grosse pointe blank (1997),pointe blank (1997) men comedy romance crime hit reunion grosse
romy and michele's high school reunion (1997),(1997) school and michele's reunion high comedy romy
shall we dance? (shall we dansu?) (1996),shall dansu?) (shall we drama (1996) comedy romance ballroom dance dance?
brassed off (1996),netflix off brassed queue drama in (1996) comedy romance
"lost world: jurassic park, the (1997)","sci-fi (1997) jurassic world: action adventure lost thriller dinosaurs park, the"
ponette (1996),ponette drama (1996) death
my best friend's wedding (1997),(1997) weddings romantic best wedding comedy romance my friend's
face/off (1997),(1997) drama action face/off thriller crime transplants
men in black (a.k.a. mib) (1997),sci-fi (1997) men aliens in action comedy black (a.k.a. mib)
g.i. jane (1997),(1997) military drama action g.i. jane
air force one (1997),(1997) one force action president thriller air
"hunt for red october, the (1990)","tom action adventure clancy red thriller october, for (1990) hunt the"
l.a. confidential (1997),confidential (1997) police mystery thriller crime l.a. film-noir
"game, the (1997)","ending psychological (1997) suspense mindfuck drama game, twist mystery thriller plot the"
"ice storm, the (1997)","(1997) 1970s drama storm, ice the"
"mrs. brown (a.k.a. her majesty, mrs. brown) (1997)","(1997) her majesty, drama england queen brown romance brown) (a.k.a. mrs. victoria"
the devil's advocate (1997),devil's advocate (1997) drama lawyers mystery thriller the
washington square (1997),(1997) drama square henry james washington
gattaca (1997),sci-fi (1997) drama intelligent thought-provoking thriller gattaca future
stripes (1981),military (1981) war comedy stripes
"rainmaker, the (1997)","netflix (1997) queue drama in rainmaker, the"
witness (1985),(1985) drama romance thriller amish witness
sliding doors (1998),drama doors universe romance (1998) alternate sliding
"truman show, the (1998)","show, sci-fi tv drama comedy (1998) truman the"
"wings of the dove, the (1997)","(1997) dove, of drama henry romance james wings the"
good will hunting (1997),(1997) drama heartwarming romance will hunting good inspirational
midnight in the garden of good and evil (1997),(1997) of and drama in garden mystery evil crime savannah good midnight the
scream 2 (1997),slasher (1997) 2 spoof sequel comedy mystery thriller horror scream
"sweet hereafter, the (1997)","death (1997) drama canada hereafter, sweet the"
titanic (1997),(1997) titanic drama romance shipwreck
"postman, the (1997)","postman, sci-fi (1997) costner drama action adventure post apocalyptic kevin the"
"big lebowski, the (1998)","lebowski, 250 buscemi julianne kidnapping philip comedy jeff steve great dark rug marijuana goodman violence nudity film crime big quotable the hoffman dialogue imdb (1998) bowling deadpan coen soundtrack moore top ransom cult funny satirical highly brothers drugs seymour sarcasm john black frontal) off-beat bridges classic quirky (full"
great expectations (1998),drama romance expectations (1998) charles great dickens
dark city (1998),sci-fi amnesia adventure (1998) thriller city film-noir dark
"wedding singer, the (1998)","wedding singer, comedy romance (1998) 1980s the"
sphere (1998),sci-fi sphere thriller (1998) good
everest (1998),netflix everest queue in (1998) documentary imax
"man in the iron mask, the (1998)","once seen drama iron in man action adventure (1998) more mask, than the"
primary colors (1998),colors primary politics drama comedy (1998)
"spanish prisoner, the (1997)","ending (1997) prisoner, drama spanish twist mystery thriller crime the"
"last days of disco, the (1998)","netflix at of dvd drama disco, days comedy last (1998) no the"
beyond silence (jenseits der stille) (1996),netflix stille) queue drama in (1996) der beyond silence (jenseits
"children of heaven, the (bacheha-ye aseman) (1997)","netflix (1997) children of queue heaven, drama in comedy (bacheha-ye aseman) the"
dream for an insomniac (1996),drama (1996) generation romance insomniac dream an x for
"x-files: fight the future, the (1998)","sci-fi x-files: fight action mystery (1998) future, crime thriller conspiracy the"
out of sight (1998),out heist of drama comedy romance (1998) sight crime thriller
picnic at hanging rock (1975),at hanging picnic drama rock mystery (1975) australia
buffalo '66 (a.k.a. buffalo 66) (1998),buffalo melancholy romantic wry drama elegiac avant-garde romance comedy (1998) (a.k.a. 66) quirky '66
armageddon (1998),sci-fi armageddon action romance (1998) thriller space
pi (1998),surreal artsy atmospheric drama tense paranoid sci-fi pi thriller appealing existentialism cerebral mindfuck hallucinatory paranoia illness (1998) visually mental mathematics enigmatic insanity
there's something about mary (1998),something mary ben about there's comedy romance (1998) humor stiller crude goofy
mutiny on the bounty (1935),bounty drama (1935) adventure mutiny on ships the
"lost weekend, the (1945)","weekend, (1945) drama lost alcoholism the"
gentleman's agreement (1947),drama gentleman's agreement judaism anti-semitism (1947)
all the king's men (1949),netflix robert penn men queue king's long drama in all huey warren (1949) the
on the waterfront (1954),waterfront contender drama coulda crime boxing on (1954) been a the
west side story (1961),gangs side (1961) drama romance story west musical
tom jones (1963),tom (1963) adventure comedy jones romance british
in the heat of the night (1967),(1967) of drama racism in mystery heat night the
oliver! (1968),oliver! drama musical (1968) dickens
midnight cowboy (1969),cowboy drama (1969) midnight prostitution
"french connection, the (1971)","drugs police french action thriller crime (1971) connection, the"
rocky (1976),sports drama rocky boxing (1976)
kramer vs. kramer (1979),drama vs. divorce (1979) kramer
chariots of fire (1981),sports chariots of olympics (1981) drama fire
out of africa (1985),out of (1985) drama adultery romance africa
"last emperor, the (1987)","emperor, china drama (1987) last the"
rain man (1988),drama man rain autism (1988)
driving miss daisy (1989),driving miss drama daisy rasicm (1989)
friday the 13th part 2 (1981),2 (1981) part friday horror jason the 13th
friday the 13th part 3: 3d (1982),(1982) 3: part 3d friday horror jason the 13th
friday the 13th part iv: the final chapter (1984),final part (1984) friday jason iv: chapter horror the 13th
friday the 13th part v: a new beginning (1985),beginning new (1985) part friday horror jason v: the a 13th
friday the 13th part vi: jason lives (1986),part (1986) friday horror jason the lives vi: 13th
halloween ii (1981),halloween (1981) horror ii
halloween iii: season of the witch (1982),(1982) of iii: season halloween witch horror the
poltergeist (1982),(1982) ghosts thriller horror poltergeist
poltergeist ii: the other side (1986),ghosts side ii: (1986) thriller horror poltergeist other the
poltergeist iii (1988),ghosts iii thriller horror (1988) poltergeist
"exorcist, the (1973)","(1973) mystery horror demons exorcist, the"
"mask of zorro, the (1998)","california of zorro, action mexico comedy romance (1998) mask the"
back to the future part ii (1989),time sci-fi to ii travel part adventure comedy (1989) back future the
seven samurai (shichinin no samurai) (1954),(shichinin drama action adventure samurai) seven no (1954) samurai
dangerous liaisons (1988),drama adultery romance liaisons (1988) dangerous
"last temptation of christ, the (1988)","christ, temptation of bible katzanzakis drama last (1988) the"
"godfather: part iii, the (1990)","coppola andy godfather: part iii, drama al garcia mafia mystery thriller crime francis pacino ford classic (1990) the"
saving private ryan (1998),ii world private drama action war (1998) ryan saving
"honey, i shrunk the kids (1989)","sci-fi children kids adventure honey, comedy i (1989) fantasy shrunk disney the"
"negotiator, the (1998)","police drama negotiator, action mystery (1998) crime thriller the"
"parent trap, the (1998)","children twins comedy romance (1998) trap, parent the"
roger & me (1989),roger general & motors me documentary (1989) michigan
"purple rose of cairo, the (1985)","netflix purple of (1985) queue drama in rose comedy romance cairo, fantasy the"
out of the past (1947),out of memory past film-noir (1947) the
tender mercies (1983),(1983) drama tender romance music western mercies
and the band played on (1993),netflix queue (1993) and drama in played aids on band the
blue velvet (1986),blue drama (1986) mystery velvet thriller suburbia sexuality
"jungle book, the (1967)","(1967) children disney jungle animation comedy book, musical the"
lady and the tramp (1955),children disney and animation (1955) comedy romance lady tramp the
101 dalmatians (one hundred and one dalmatians) (1961),dalmatians dalmatians) children one disney (1961) and animation adventure hundred 101 (one
something wicked this way comes (1983),something bradbury children (1983) ray drama mystery wicked thriller this way comes fantasy carnival
splash (1984),splash (1984) comedy romance mermaid fantasy
l.a. story (1991),(1991) forecaster romance comedy weather story l.a.
"outsiders, the (1983)","(1983) drama s.e. outsiders, hinton the"
indiana jones and the temple of doom (1984),doom of (1984) and action adventure archaeology jones temple fantasy indiana the
"lord of the rings, the (1978)","(1978) children of tolkein animation rings, adventure lord fantasy classic the"
"dead zone, the (1983)","(1983) king zone, thriller dead stephen the"
cujo (1983),(1983) king thriller horror cujo stephen
children of the corn (1984),children of (1984) corn king thriller horror stephen the
"addams family, the (1991)","addams children quirky (1991) family, gothic comedy christina black family lloyd fantasy christopher ricci the"
watership down (1978),(1978) children down atmospheric animation drama adventure beautiful watership fantasy
"secret of nimh, the (1982)","(1982) nimh, children of animation drama adventure secret mice the"
pretty in pink (1986),pretty school (1986) drama in high comedy romance pink 1980s
st. elmo's fire (1985),(1985) drama elmo's romance st. fire post-college
rosemary's baby (1968),suspense atmospheric drama paranoia scary baby creepy rosemary's thriller (1968) horror demons
blade (1998),action blade vampires thriller (1998) horror
next stop wonderland (1998),ads personals aquarium drama next comedy romance (1998) boston wonderland stop
strangers on a train (1951),train murder drama thriller crime on film-noir (1951) strangers a
stage fright (1950),stage (1950) romance mystery thriller fright theater
"untouchables, the (1987)","capone drama action (1987) gangsters crime untouchables, the"
lifeboat (1944),lifeboat drama war (1944) survival
shadow of a doubt (1943),small (1943) shadow of towns drama thriller crime doubt a
suspicion (1941),(1941) suspicion paranoia mystery thriller film-noir
"lady vanishes, the (1938)","train (1938) drama mystery thriller vanishes, lady the"
broadcast news (1987),broadcast drama (1987) comedy romance journalism news
married to the mob (1988),to married mob mafia comedy (1988) the
say anything... (1989),say anything... drama in comedy romance your (1989) eyes lloyd dobbler
my blue heaven (1990),blue heaven mafia comedy my (1990)
"few good men, a (1992)","(1992) men, military few drama thriller crime good court a"
edward scissorhands (1990),scissorhands freaks drama romance fantasy edward (1990)
"impostors, the (1998)","comedy (1998) screwball impostors, the"
"night at the roxbury, a (1998)","at roxbury, comedy (1998) snl a night the"
"producers, the (1968)","comedy broadway (1968) producers, the"
my cousin vinny (1992),(1992) cousin vinny comedy court my
"mighty, the (1998)","drama (1998) adolescence mighty, the"
children of a lesser god (1986),death children of (1986) drama god lesser penalty a
"elephant man, the (1980)","freaks drama (1980) man, elephant the"
life is beautiful (la vita è bella) (1997),sentimental drama jerker è comedy (la holocaust bittersweet (1997) emotional tearjerking tear war heartwarming poignant vita romance bella) is beautiful life
american history x (1998),history emotional politics drama racism thought-provoking norton (1998) crime american edward x
"siege, the (1998)","terrorism action siege, thriller (1998) the"
"waterboy, the (1998)","comedy (1998) waterboy, football the"
elizabeth (1998),(1998) drama elizabeth england
"nights of cabiria (notti di cabiria, le) (1957)","netflix (notti of le) queue di drama in cabiria nights (1957) cabiria,"
"bug's life, a (1998)","life, children animation adventure comedy pixar (1998) bug's a"
central station (central do brasil) (1998),central drama (central station (1998) south america do brasil)
"celebration, the (festen) (1998)","netflix (festen) queue drama in (1998) celebration, the"
very bad things (1998),very bad things comedy (1998) crime humor dark
little voice (1998),netflix little queue in comedy (1998) voice
"simple plan, a (1998)","heist drama plan, (1998) crime simple thriller a"
star trek: insurrection (1998),sci-fi star goldberg drama action trek romance (1998) insurrection opera cameo:whoopi trek: space
"prince of egypt, the (1998)","moses of bible prince animation (1998) egypt, musical the"
shakespeare in love (1998),shakespeare drama in england comedy romance (1998) love
rocky iii (1982),(1982) iii drama action rocky boxing
rocky iv (1985),(1985) iv drama action rocky boxing
rocky v (1990),v drama action rocky boxing (1990)
"karate kid, the (1984)","martial karate arts (1984) drama kid, the"
"karate kid, part ii, the (1986)","martial karate arts part (1986) drama action adventure ii, kid, the"
"karate kid, part iii, the (1989)","children martial karate arts part iii, drama action adventure (1989) kid, the"
christmas vacation (national lampoon's christmas vacation) (1989),(national comedy lampoon's christmas vacation (1989) vacation)
you've got mail (1998),you've remake mail got comedy romance (1998) e-mail
patch adams (1998),bad drama comedy (1998) patch adams doctors
hilary and jackie (1998),netflix queue jackie and drama in (1998) hilary
ruthless people (1986),people ruthless kidnapping (1986) comedy
"name of the rose, the (name der rose, der) (1986)","of (1986) drama der) mystery thriller name crime der (name the religion rose,"
crocodile dundee (1986),(1986) crocodile adventure comedy australia dundee
crocodile dundee ii (1988),ii crocodile action adventure comedy australia (1988) dundee
simply irresistible (1999),simply (1999) irresistible comedy romance food
"last days, the (1998)","hungary last (1998) documentary days, holocaust the"
office space (1999),workplace (1999) comedy crime office stapler space
8mm (1999),nicolas drama (1999) 8mm mystery thriller cage
"other sister, the (1999)","disability drama (1999) comedy romance sister, other the"
christine (1983),(1983) king horror christine stephen
planet of the apes (1968),ending sci-fi apes of drama action twist (1968) planet the
"haunting, the (1963)","ghosts (1963) thriller haunting, horror the"
village of the damned (1960),village (1960) sci-fi children of thriller damned evil horror the
children of the damned (1963),sci-fi children of (1963) thriller damned evil horror the
"king and i, the (1956)","and i, king drama romance siam (1956) musical the"
"matrix, the (1999)","sci-fi martial arts matrix, (1999) action universe post thriller alternate apocalyptic philosophy the"
10 things i hate about you (1999),shakespeare of things about you (1999) comedy romance i sort 10 hate
following (1998),ending not white mindfuck linear and following twist mystery thriller (1998) crime black nolan directorial debut christopher
never been kissed (1999),kissed never school (1999) high comedy romance been
cookie's fortune (1999),fortune cookie's us drama (1999) comedy southern
pushing tin (1999),tin (1999) comedy golfing pushing
existenz (1999),sci-fi reality virtual (1999) action existenz thriller
mildred pierce (1945),(1945) motherhood drama pierce mildred film-noir
dick tracy (1990),tracy book comic action dick crime (1990)
star wars: episode i - the phantom menace (1999),sci-fi star prequel - (1999) action adventure force i phantom menace episode wars: the
superman (1978),sci-fi superhero (1978) action superman adventure
superman ii (1980),sci-fi superhero ii action superman (1980)
superman iii (1983),sci-fi superhero (1983) iii action adventure superman
frankenstein (1931),netflix sci-fi queue drama in frankenstein horror (1931)
"thing from another world, the (1951)","sci-fi aliens from another thing world, horror (1951) the"
"war of the worlds, the (1953)","sci-fi of worlds, war drama action (1953) classic the"
invasion of the body snatchers (1956),sci-fi snatchers of 1950s body thriller horror invasion (1956) the
buena vista social club (1999),club netflix queue vista buena (1999) in documentary social musical
run lola run (lola rennt) (1998),endings action run (lola (1998) crime alternate rennt) lola
trekkies (1997),star (1997) trek trekkies documentary
big daddy (1999),(1999) comedy daddy adam big sandler
arachnophobia (1990),arachnophobia comedy horror spiders (1990)
"south park: bigger, longer and uncut (1999)","and bigger, parker satire comedy park: crude musical trey animation (1999) humor longer controversial speech park uncut free parody south adult"
american pie (1999),comedy william teen (1999) chris klein biggs american seann beer not best pizza romance pie scott funny dumb jason
"blair witch project, the (1999)","true to be drama (1999) claims witch thriller video horror project, blair the"
eyes wide shut (1999),drama (1999) shut sexuality mystery thriller eyes wide
ghostbusters (a.k.a. ghost busters) (1984),sci-fi ghosts (1984) action comedy ghostbusters (a.k.a. ghost busters)
ghostbusters ii (1989),sci-fi ghosts ii comedy (1989) ghostbusters fantasy
"haunting, the (1999)","remake (1999) thriller haunting, horror the"
mystery men (1999),superhero men (1999) action comedy mystery fantasy
"killing, the (1956)","heist crime film-noir (1956) killing, the"
spartacus (1960),(1960) rome drama war action romance crucifixion slavery spartacus
"400 blows, the (les quatre cents coups) (1959)","quatre emotional coups) (1959) 400 drama gentle blows, heartwarming crime reflective (les lyrical cents the"
"mission, the (1986)","mission, missionary drama (1986) priest the"
radio days (1987),radio drama (1987) days comedy nostalgia
"iron giant, the (1999)","sci-fi giant, children animation (1999) iron adventure drama robots the"
"sixth sense, the (1999)","250 see atmospheric drama sixth willis (1999) dead horror sense, the people ghosts mindfuck stylized imdb i top bruce ending twist mystery"
cat's eye (1985),cat's (1985) king horror eye stephen
airplane! (1980),aviation spoof airplane! (1980) comedy
big (1988),children drama comedy romance (1988) fantasy big
oscar and lucinda (a.k.a. oscar & lucinda) (1997),(1997) oscar lucinda lucinda) & and drama romance gambling (a.k.a.
"pelican brief, the (1993)","(1993) drama romance mystery pelican crime thriller lawyers brief, the"
"christmas story, a (1983)","children (1983) comedy story, christmas a"
"astronaut's wife, the (1999)","sci-fi wife, aliens (1999) thriller horror astronaut's the"
"hard day's night, a (1964)","beatles day's a hard night, adventure comedy (1964) musical"
deliverance (1972),deliverance river drama adventure thriller (1972)
excalibur (1981),(1981) arthur king england adventure excalibur fantasy
sanjuro (tsubaki sanjûrô) (1962),netflix sanjuro (tsubaki queue sanjûrô) drama action adventure in (1962)
risky business (1983),(1983) comedy risky business prostitution
ferris bueller's day off (1986),off school (1986) day high comedy bueller's ferris
"year of living dangerously, the (1982)","(1982) of year dangerously, drama war academy actress) (best romance supporting indonesia living award journalism the"
brief encounter (1946),drama adultery romance encounter brief (1946)
"lady eve, the (1941)","(1941) comedy romance gambling eve, lady the"
"palm beach story, the (1942)","beach palm comedy story, (1942) screwball the"
niagara (1953),netflix queue drama in niagara thriller (1953)
gilda (1946),nightclub drama gilda mystery romance film-noir (1946)
south pacific (1958),(1958) war island romance south pacific musical
indochine (1992),(1992) drama romance vietnam indochine
"fistful of dollars, a (per un pugno di dollari) (1964)","of bad di action dollars, dollari) fistful western (per (1964) un pugno a"
sydney (hard eight) (1996),eight) sydney drama (1996) (hard crime thriller gambling
home alone 2: lost in new york (1992),alone (1992) children new 2: in sequel lost home comedy family york macaulay culkin funny
fight club (1999),club 250 surreal atmospheric criticism drama comedy psychology pitt disturbing mind-blowing brad on edward palahnuik philosophy social great challenging a dark postmodern consumerism violent violence societal nudity (1999) philosophical carter thriller crime double palahniuk david psychological complicated friend acting mindfuck schizophrenia stylized fight clever norton fighting chuck imdb illness powerful fincher satirical top commentary ending mental helena narrated terrorism book action thought-provoking based twist life (topless) imaginary classic quirky bonham
"straight story, the (1999)","brothers straight (1999) drama adventure story, mower lawn the"
"bad seed, the (1956)","children bad drama thriller evil (1956) seed, the"
time bandits (1981),time sci-fi bandits (1981) travel adventure comedy fantasy
who framed roger rabbit? (1988),roger children live animation who adventure comedy mystery crime action/animation (1988) fantasy rabbit? framed
princess mononoke (mononoke-hime) (1997),studio (mononoke-hime) (1997) world surreal atmospheric animation drama action adventure anime ghibli fantasy princess mononoke
"insider, the (1999)","true insider, drama (1999) thriller story tobacco the"
american movie (1999),netflix queue movie (1999) in documentary american
"they shoot horses, don't they? (1969)","don't they shoot drama marathon (1969) horses, they? dance"
"taming of the shrew, the (1967)","shrew, (1967) shakespeare of comedy taming the"
yojimbo (1961),yojimbo (1961) action adventure samurai
trading places (1983),(1983) places comedy trading class aykroyd dan
meatballs (1979),comedy camp (1979) meatballs
dead again (1991),(1991) memory romance again mystery dead thriller music
dogma (1999),silent dogma smith and (1999) jay adventure kevin comedy bob satire irreverent fantasy religion
"commitments, the (1991)","netflix queue (1991) drama commitments, in comedy musical the"
stand and deliver (1988),school deliver and drama high comedy stand (1988)
moonstruck (1987),new (1987) comedy romance york moonstruck
42 up (1998),netflix up queue 42 in (1998) documentary series
sleepy hollow (1999),crane (1999) romance mystery hollow sleepy horror fantasy ichabod
scrooged (1988),new comedy romance christmas york (1988) scrooged fantasy
"grapes of wrath, the (1940)","of wrath, bowl drama grapes depression dust (1940) the"
"shop around the corner, the (1940)","remade corner, drama comedy romance around shop (1940) the"
"natural, the (1984)","sports (1984) natural, drama baseball the"
fatal attraction (1987),drama (1987) adultery attraction thriller fatal
"fisher king, the (1991)","(1991) fisher drama homeless king, comedy romance fantasy the"
places in the heart (1984),places (1984) drama in heart racism the
toy story 2 (1999),tom 2 children hanks animation (1999) adventure sequel comedy original pixar story toy fantasy funny disney
flawless (1999),men flawless drama (1999) in drag
"end of the affair, the (1999)","affair, graham of end drama (1999) greene the"
grand illusion (la grande illusion) (1937),illusion) grande (1937) drama war grand poignant downbeat (la illusion
"great santini, the (1979)","fatherhood drama santini, great (1979) the"
"green mile, the (1999)","mile, drama (1999) king crime green stephen the"
"last picture show, the (1971)","show, black-and-white drama last picture (1971) the"
magnolia (1999),(1999) drama magnolia l.a.
man on the moon (1999),andy drama (1999) man comedy moon on kaufman the
galaxy quest (1999),sci-fi spoof (1999) galaxy quest adventure comedy
"talented mr. ripley, the (1999)","law jude drama disturbing psychology secrets on a talented (1999) mr. creepy thriller europe the suspense obsession murder serial killer book based mystery ripley,"
"hurricane, the (1999)","hurricane, drama (1999) boxing the"
titus (1999),shakespeare titus drama (1999)
"girl, interrupted (1999)","girl, true mental drama (1999) interrupted based murphy winona psychology brittany story on asylum ryder a hospital"
"terrorist, the (a.k.a. malli) (theeviravaathi) (1998)","netflix (theeviravaathi) queue drama malli) in (1998) (a.k.a. terrorist, the"
fast times at ridgemont high (1982),(1982) at fast school times drama high ridgemont comedy romance
"cry in the dark, a (1988)","cry dingo drama dark, in baby australia (1988) ate my a the"
sister act (1992),(1992) act sister comedy crime nuns
alive (1993),netflix queue (1993) drama in alive
death becomes her (1992),death (1992) her comedy surgery becomes fantasy plastic
far and away (1992),(1992) and drama adventure far romance ireland away
howards end (1992),(1992) end howards drama forster e.m.
white men can't jump (1992),(1992) basketball men white drama comedy can't jump
hard-boiled (lat sau san taam) (1992),taam) gun (1992) heroic sau drama action hard-boiled bloodshed thriller (lat crime san fu
man bites dog (c'est arrivé près de chez vous) (1992),dog drama comedy chez dark (1992) près vous) thriller crime humor bites arrivé serial (c'est de killer crazy man black
"cutting edge, the (1992)","(1992) figure drama comedy romance cutting skating edge, the"
scream 3 (2000),slasher 3 spoof comedy mystery thriller horror scream (2000)
"brandon teena story, the (1998)","teena story, (1998) documentary sexuality brandon the"
"circus, the (1928)","(1928) circus comedy circus, top big the"
city lights (1931),drama comedy romance lights city blind (1931)
"kid, the (1921)","drama comedy orphans (1921) kid, the"
wonder boys (2000),boys drama wonder comedy writing (2000)
splendor in the grass (1961),grass (1961) drama in romance sexuality splendor adolescence the
for all mankind (1989),netflix queue in all documentary (1989) mankind for
born yesterday (1950),born (1950) comedy yesterday remade
hoosiers (a.k.a. best shot) (1986),basketball hoosiers best (1986) drama romance (a.k.a. shot)
"taking of pelham one two three, the (1974)","three, of one (1974) two action crime subway pelham taking the"
volunteers (1985),volunteers (1985) comedy peace corp
jfk (1991),jfk (1991) politics drama president mystery thriller
erin brockovich (2000),true drama brockovich erin story scandal (2000)
...and justice for all (1979),...and justice drama all thriller for (1979) lawyers
animal house (1978),(1978) animal toga comedy college house
do the right thing (1989),cinematography right drama great thing (1989) do racism the
creature comforts (1989),animation aardman comedy (1989) comforts creature
double indemnity (1944),insurance drama indemnity (1944) crime double film-noir
"good earth, the (1937)","s (1937) drama earth, pearl good buck the"
guess who's coming to dinner (1967),(1967) interracial to who's tracy hepburn prejudice drama and marriage guess coming racism dinner
"color of paradise, the (rang-e khoda) (1999)","netflix of paradise, queue drama (1999) in color khoda) (rang-e the"
lord of the flies (1963),of (1963) drama adventure lord island thriller flies the
modern times (1936),times drama (1936) modern comedy romance factory
"hustler, the (1961)","(1961) drama pool hustler, the"
inherit the wind (1960),(1960) wind inherit drama evolution court religion the
"place in the sun, a (1951)","sun, place drama in romance class (1951) a the"
high fidelity (2000),drama high comedy romance fidelity music nick (2000) hornby
hook (1991),pan (1991) adventure comedy peter fantasy hook
midnight express (1978),netflix (1978) queue drama in midnight express
misery (1990),suspenseful drama king scary tense thriller horror misery claustrophobic stephen (1990)
my life (1993),death (1993) drama life my
network (1976),drama comedy (1976) journalism network
"odd couple, the (1968)","netflix queue odd in comedy (1968) couple, the"
return to me (2000),to return drama romance me transplants (2000)
me myself i (2000),endings comedy me romance i alternate myself (2000)
parenthood (1989),drama families comedy (1989) parenthood
predator (1987),sci-fi arnold schwarzenegger aliens dialogue action (1987) predator ventura thriller macho scifi cult guns jesse
"prince of tides, the (1991)","of prince (1991) drama psychiatrist romance tides, the"
keeping the faith (2000),keeping drama faith comedy romance priest rabbi (2000) the
what ever happened to baby jane? (1962),happened to show drama baby jane? (1962) thriller horror what ever business
auntie mame (1958),mame (1958) drama auntie comedy 1920s
guys and dolls (1955),and (1955) comedy romance gambling guys dolls musical
caddyshack (1980),comedy caddyshack golf (1980)
"virgin suicides, the (1999)","1970s virgin sofia drama (1999) romance suicide coppola suicides, the"
limelight (1952),limelight netflix (1952) queue drama in romance comedy
"big kahuna, the (2000)","kahuna, business drama comedy big religion (2000) the"
gladiator (2000),250 history ancient epic revenge crowe rome drama action adventure gladiator imdb romans top russell (2000)
pee-wee's big adventure (1985),(1985) adventure comedy pee-wee's pee herman big wee
"gold rush, the (1925)","rush, mining adventure comedy romance (1925) gold the"
blazing saddles (1974),saddles silly (1974) comedy western humor easygoing blazing dark
white christmas (1954),white comedy romance christmas (1954) musical
eraserhead (1977),netflix surreal atmospheric drama (1977) disturbing fucked weird paranoid dark strange up dreamlike creepy horror eraserhead queue cryptic hallucinatory house enigmatic insane in art gruesome
blood simple (1984),blood brothers (1984) drama crime simple coen film-noir
soapdish (1991),(1991) television comedy soapdish
hamlet (1990),shakespeare drama (1990) hamlet
coming home (1978),(1978) war drama home vietnam coming
"conversation, the (1974)","spying (1974) drama conversation, mystery the"
serpico (1973),(1973) police serpico drama crime
x-men (2000),sci-fi hugh superhero book x-men comic marvel action adventure jackman (2000)
anatomy of a murder (1959),(1959) of drama mystery murder court anatomy a
breaker morant (1980),morant drama war (1980) court breaker
"official story, the (la historia oficial) (1985)","children (1985) official missing drama story, (la historia oficial) the"
steel magnolias (1989),magnolias drama diabetes (1989) steel
the spiral staircase (1945),(1945) disability spiral mystery thriller horror staircase the
"eyes of tammy faye, the (2000)","faye, netflix of queue tammy in documentary eyes televangelist (2000) the"
supergirl (1984),superhero (1984) action adventure fantasy supergirl
almost famous (2000),famous drama rolling stone journalism music almost (2000)
dancer in the dark (2000),dark drama in musical factory dancer blindness (2000) the
best in show (2000),show best in satire comedy dogs (2000)
"invisible man, the (1933)","sci-fi invisibility (1933) invisible horror man, the"
meet the parents (2000),de robert parents comedy niro meet (2000) the
requiem for a dream (2000),drama drug psychology depressing abuse requiem dream for a (2000)
two family house (2000),netflix queue drama two in family house (2000)
billy elliot (2000),drama elliot ballet billy (2000)
you can count on me (2000),can you drama romance me family on count (2000)
how the grinch stole christmas (a.k.a. the grinch) (2000),grinch children grinch) dr. stole how comedy seuss christmas (a.k.a. fantasy (2000) the
unbreakable (2000),sci-fi superhero relationship unique atmospheric mindfuck drama father-son unbreakable somber comics (2000)
"crouching tiger, hidden dragon (wo hu cang long) (2000)","martial arts china drama dragon crouching action romance long) tiger, (wo cang hu (2000) hidden"
wall street (1987),wall drama (1987) street business
punchline (1988),drama punchline comedy stand-up (1988)
"dude, where's my car? (2000)","where's sci-fi bad dude, car? comedy my (2000)"
finding forrester (2000),finding drama forrester writing (2000)
"house of mirth, the (2000)","mirth, of romance house wharton edith (2000) the"
miss congeniality (2000),congeniality miss pageant comedy crime (2000)
